0.0939,0.01,-67.5,-50,4,-51,0.1,0.11161,36.86,0.07264,61.76,0,1,0,1
0.049873,0.0057962,-72.135,-56.112,4,-49.064,0.58708,0.04586,17.158,-0.013761,71.309,2.2726,18.146,-1.1748,18.146
0.056424,0.0066581,-70.121,-60.106,4,-49.251,0.51066,0.73869,40.8,-0.68299,43.726,0.11264,1000,0.33965,111.86
0.0476,0.013032,-62.712,-53.61,4,-46.067,0.97566,0.067409,11.011,-0.011931,169.55,16.421,61.974,-16.876,59.358
0.035515,0.0065803,-66.289,-51.885,4,-41.73,0.64993,0.048545,20.59,-0.013581,138.65,2.7893,61.094,-1.8478,61.094
0.0382,0.0059368,-67.806,-45.313,4,-41.619,0.7596,0.05175,34.338,-0.012963,118.45,-4.0874,66.752,5.9556,66.752
0.048262,0.010784,-72.042,-56.229,4,-46.529,0.74107,0.10166,22.626,-0.032768,108.84,3.4475,7.197,0.17279,417.12
0.050049,0.0057421,-72.376,-55.588,4,-49.345,0.58798,0.047068,16.881,-0.014306,68.874,4.2117,70.676,-3.734,70.676
0.056894,0.0066798,-70.036,-60.106,4,-49.107,0.49588,0.7544,41.29,-0.69783,44.256,0.4088,176.85,0.0017685,176.76
0.048262,0.010784,-72.042,-56.229,4,-46.55,0.74107,0.10166,22.626,-0.032768,108.84,3.4475,7.197,0.17279,417.12
